,Author ID,Top 10 Cosine Similarity Scores,Paper Indices
18,13360993,"[0.9466208815574646, 0.7202091217041016, 0.7158123254776001, 0.5303313136100769, 0.4978451728820801, 0.49375027418136597, 0.4845886528491974, 0.47266533970832825, 0.4655064642429352, 0.46182072162628174]","[841, 881, 297, 228, 146, 514, 802, 175, 859, 3]"
20,2255293,"[0.9524046778678894, 0.7194400429725647, 0.7054019570350647, 0.5846589207649231, 0.5174840688705444, 0.515286922454834, 0.4925326108932495, 0.48465266823768616, 0.4832019805908203, 0.48110532760620117]","[841, 297, 881, 802, 426, 228, 146, 139, 801, 168]"
21,50256600,"[0.9453953504562378, 0.7281650304794312, 0.7222813963890076, 0.5970063805580139, 0.5941499471664429, 0.5579104423522949, 0.5338067412376404, 0.5283033847808838, 0.5263959169387817, 0.5196461081504822]","[841, 297, 881, 802, 228, 426, 514, 168, 146, 859]"
22,3259093,"[0.9550003409385681, 0.708909273147583, 0.7058254480361938, 0.47564154863357544, 0.4674574136734009, 0.44933268427848816, 0.425342321395874, 0.4024553596973419, 0.3898678123950958, 0.3798432946205139]","[841, 881, 297, 514, 859, 146, 228, 27, 764, 139]"
23,13589859,"[0.9486962556838989, 0.7160077095031738, 0.7115898728370667, 0.5346910357475281, 0.5069892406463623, 0.49658775329589844, 0.48014193773269653, 0.4799274504184723, 0.4669715464115143, 0.46126919984817505]","[841, 297, 881, 802, 146, 139, 228, 3, 859, 879]"
24,1419193826,"[0.951279878616333, 0.7167596817016602, 0.6959275007247925, 0.5497337579727173, 0.53367018699646, 0.5197473764419556, 0.4991689622402191, 0.48148608207702637, 0.4795457124710083, 0.4791509211063385]","[841, 881, 297, 228, 514, 802, 175, 859, 544, 146]"
25,3603537,"[0.9410687685012817, 0.7276848554611206, 0.721680760383606, 0.5604677796363831, 0.5295681357383728, 0.5006723403930664, 0.48680341243743896, 0.48494675755500793, 0.48317888379096985, 0.472794771194458]","[841, 297, 881, 228, 802, 146, 514, 764, 175, 426]"
26,35093034,"[0.9352543354034424, 0.7051383256912231, 0.6731466054916382, 0.4849919378757477, 0.45399999618530273, 0.4422110319137573, 0.43250420689582825, 0.42545005679130554, 0.4017289876937866, 0.39275315403938293]","[841, 881, 297, 228, 146, 175, 514, 802, 859, 3]"
27,2108507418,"[0.94184410572052, 0.7256673574447632, 0.724037766456604, 0.4993327856063843, 0.4970827102661133, 0.4964733421802521, 0.4834558367729187, 0.4478405714035034, 0.43957340717315674, 0.4362632632255554]","[841, 881, 297, 514, 228, 146, 859, 3, 820, 802]"
28,4441186,"[0.9355838298797607, 0.771092414855957, 0.7136647701263428, 0.5598037838935852, 0.5557248592376709, 0.539179801940918, 0.4991774260997772, 0.4909144639968872, 0.4849415421485901, 0.48039788007736206]","[841, 297, 881, 175, 514, 228, 146, 929, 544, 859]"
29,3079130,"[0.9462711811065674, 0.7412042617797852, 0.7000446915626526, 0.5668306946754456, 0.5374239087104797, 0.5206063389778137, 0.5184279680252075, 0.513427197933197, 0.5032938718795776, 0.4913880228996277]","[841, 881, 297, 228, 175, 514, 544, 3, 802, 146]"
30,13508006,"[0.9377070069313049, 0.7375944256782532, 0.690367579460144, 0.5170203447341919, 0.4834190607070923, 0.47008344531059265, 0.4663769602775574, 0.4593449831008911, 0.45863837003707886, 0.45222198963165283]","[841, 881, 297, 228, 514, 175, 802, 146, 22, 139]"
31,6379364,"[0.9362151622772217, 0.7062223553657532, 0.6918531656265259, 0.5383836030960083, 0.5345394015312195, 0.5112838745117188, 0.506161093711853, 0.4904620051383972, 0.47623205184936523, 0.4720585346221924]","[841, 881, 297, 228, 175, 802, 514, 146, 544, 467]"
32,1400029452,"[0.9586728811264038, 0.7338145971298218, 0.7116955518722534, 0.5120958089828491, 0.5044821500778198, 0.5031987428665161, 0.49510082602500916, 0.48332035541534424, 0.48232316970825195, 0.47354936599731445]","[841, 297, 881, 802, 228, 859, 426, 514, 764, 146]"
33,2109507430,"[0.9420267343521118, 0.7246537804603577, 0.7133610248565674, 0.5408896207809448, 0.5178146362304688, 0.5099140405654907, 0.5065504312515259, 0.49897733330726624, 0.488240510225296, 0.47339844703674316]","[841, 297, 881, 228, 514, 175, 802, 146, 3, 764]"
34,38534247,"[0.9497986435890198, 0.7458771467208862, 0.7333093881607056, 0.608227014541626, 0.6055526733398438, 0.5899819731712341, 0.5768283605575562, 0.5719218254089355, 0.5351715087890625, 0.5273246765136719]","[841, 881, 297, 175, 228, 544, 802, 514, 31, 3]"
35,2077453966,"[0.9516992568969727, 0.7520602345466614, 0.708847165107727, 0.5472564697265625, 0.5262309312820435, 0.5247738361358643, 0.5175251960754395, 0.5048269629478455, 0.4947333037853241, 0.49219635128974915]","[841, 881, 297, 802, 514, 228, 146, 3, 426, 139]"
36,2117511620,"[0.9472724199295044, 0.7412515878677368, 0.6918460726737976, 0.45958411693573, 0.43245428800582886, 0.41731029748916626, 0.4107290506362915, 0.40019410848617554, 0.3897198438644409, 0.3723751902580261]","[841, 881, 297, 859, 514, 146, 27, 820, 228, 3]"
37,4904593,"[0.9487308263778687, 0.7296947240829468, 0.6985388994216919, 0.5478106141090393, 0.5469464063644409, 0.5404266119003296, 0.5024967193603516, 0.4895206689834595, 0.4836884140968323, 0.4822694659233093]","[841, 881, 297, 228, 514, 802, 146, 426, 175, 859]"
38,8671278,"[0.9472723007202148, 0.7272078990936279, 0.7186646461486816, 0.5802714824676514, 0.5711342096328735, 0.5216537714004517, 0.5167238712310791, 0.5097337961196899, 0.5065992474555969, 0.4943350553512573]","[841, 881, 297, 228, 802, 146, 426, 514, 168, 175]"
39,1403215888,"[0.9316477179527283, 0.7466014623641968, 0.7387083172798157, 0.6120805144309998, 0.6086177825927734, 0.5852353572845459, 0.5770336985588074, 0.5614089965820312, 0.5447765588760376, 0.5382349491119385]","[841, 881, 297, 175, 228, 544, 802, 3, 514, 467]"
40,14173948,"[0.9549190998077393, 0.7522633671760559, 0.7330915927886963, 0.6478036642074585, 0.5622082948684692, 0.5268338918685913, 0.5205152630805969, 0.5133312940597534, 0.5059424638748169, 0.4932183623313904]","[841, 881, 297, 514, 228, 175, 859, 146, 738, 544]"
41,35238619,"[0.9515958428382874, 0.7296439409255981, 0.7057119607925415, 0.5085135698318481, 0.5074079036712646, 0.48145347833633423, 0.44638702273368835, 0.4404793977737427, 0.42662179470062256, 0.4220213294029236]","[841, 881, 297, 228, 514, 859, 802, 146, 764, 645]"
42,1392073542,"[0.9509404301643372, 0.71844482421875, 0.686066746711731, 0.49113476276397705, 0.4833918809890747, 0.4677107334136963, 0.44957464933395386, 0.43958231806755066, 0.42447179555892944, 0.42267200350761414]","[841, 881, 297, 146, 228, 859, 802, 514, 139, 3]"
43,49496678,"[0.9361777305603027, 0.7243472337722778, 0.7069956064224243, 0.49457037448883057, 0.4899306297302246, 0.48200657963752747, 0.4603661894798279, 0.4527933597564697, 0.44954797625541687, 0.4399734437465668]","[841, 881, 297, 859, 146, 228, 802, 139, 514, 820]"
44,48543875,"[0.9443305134773254, 0.7390090227127075, 0.7169066667556763, 0.5743486285209656, 0.5318728685379028, 0.5311718583106995, 0.5119543075561523, 0.5098288059234619, 0.4881400465965271, 0.48194873332977295]","[841, 297, 881, 228, 544, 175, 802, 146, 467, 3]"
45,2117498493,"[0.9394736289978027, 0.6806337237358093, 0.6590877175331116, 0.3976680636405945, 0.3883506655693054, 0.38415324687957764, 0.36877962946891785, 0.31904715299606323, 0.31237709522247314, 0.3108944892883301]","[841, 881, 297, 859, 514, 146, 228, 728, 697, 764]"
46,51301280,"[0.9353882670402527, 0.7053313255310059, 0.6804259419441223, 0.49985936284065247, 0.46787044405937195, 0.45594871044158936, 0.4428557753562927, 0.4261545240879059, 0.42121291160583496, 0.4157147705554962]","[841, 881, 297, 228, 146, 514, 175, 859, 544, 3]"
47,6191450,"[0.9486682415008545, 0.7077816724777222, 0.7063159942626953, 0.5491653680801392, 0.5382527112960815, 0.5220597982406616, 0.5099983811378479, 0.5070730447769165, 0.501347541809082, 0.4962460398674011]","[841, 297, 881, 802, 228, 514, 764, 146, 426, 935]"
48,2037431010,"[0.9481241703033447, 0.7288445234298706, 0.7136845588684082, 0.600334644317627, 0.5664783716201782, 0.5643559694290161, 0.5446299314498901, 0.5427269339561462, 0.5347805023193359, 0.5344610214233398]","[841, 881, 297, 802, 228, 175, 764, 146, 514, 426]"
49,47861658,"[0.9388902187347412, 0.7572861909866333, 0.6883355379104614, 0.538298487663269, 0.5286175012588501, 0.5193701982498169, 0.48448142409324646, 0.47936102747917175, 0.47041645646095276, 0.4599617123603821]","[841, 881, 297, 228, 175, 514, 146, 859, 31, 284]"
50,1431725145,"[0.9418337941169739, 0.7214879393577576, 0.7207923531532288, 0.5721762776374817, 0.5360829830169678, 0.5063838958740234, 0.4987008571624756, 0.4921463131904602, 0.4741367995738983, 0.4656298756599426]","[841, 881, 297, 228, 175, 146, 544, 514, 139, 802]"
51,23141917,"[0.9319823980331421, 0.7199383974075317, 0.7157214879989624, 0.5577429533004761, 0.5534255504608154, 0.5173922777175903, 0.49362999200820923, 0.4894960820674896, 0.486604243516922, 0.4847283661365509]","[841, 881, 297, 228, 802, 146, 514, 3, 22, 859]"
52,4273080,"[0.9412102103233337, 0.7266343235969543, 0.725149393081665, 0.5167239904403687, 0.4987069368362427, 0.4857112765312195, 0.4736340641975403, 0.4669225215911865, 0.4649626612663269, 0.4603646695613861]","[841, 881, 297, 802, 146, 228, 426, 514, 859, 139]"
53,5149202,"[0.9560921788215637, 0.7453755140304565, 0.7390967607498169, 0.5728709697723389, 0.5599336624145508, 0.5368640422821045, 0.5162156820297241, 0.5006608366966248, 0.4964384138584137, 0.49192169308662415]","[841, 297, 881, 228, 514, 802, 175, 3, 859, 146]"
54,2056809516,"[0.945799708366394, 0.7312135100364685, 0.6852625012397766, 0.538716197013855, 0.5386021137237549, 0.5093623399734497, 0.5025125741958618, 0.48977744579315186, 0.47485125064849854, 0.4695779085159302]","[841, 881, 297, 802, 228, 175, 514, 544, 426, 146]"
55,83006084,"[0.9397377967834473, 0.7015014290809631, 0.6982869505882263, 0.5191774368286133, 0.5007498860359192, 0.49023640155792236, 0.4753379225730896, 0.47435706853866577, 0.4619835615158081, 0.4619399905204773]","[841, 881, 297, 802, 228, 146, 859, 514, 426, 139]"
56,2133433104,"[0.9395314455032349, 0.721533477306366, 0.7021213173866272, 0.5078657269477844, 0.4674028754234314, 0.4566583037376404, 0.45602595806121826, 0.43697047233581543, 0.42071592807769775, 0.4145853519439697]","[841, 881, 297, 514, 859, 228, 146, 645, 27, 764]"
57,1607039219,"[0.948879599571228, 0.7318742871284485, 0.7127047777175903, 0.5569261908531189, 0.5383347272872925, 0.5191383957862854, 0.4901428520679474, 0.48864197731018066, 0.48651885986328125, 0.4823301434516907]","[841, 881, 297, 802, 228, 514, 426, 859, 168, 3]"
58,145156917,"[0.9507009387016296, 0.7308738231658936, 0.726855456829071, 0.5518473982810974, 0.5117136836051941, 0.49004700779914856, 0.47711312770843506, 0.4623855650424957, 0.4578547477722168, 0.4577856957912445]","[841, 881, 297, 514, 802, 859, 146, 228, 426, 27]"
59,66136467,"[0.9461890459060669, 0.7288812398910522, 0.7195335626602173, 0.49309492111206055, 0.4899449944496155, 0.48471599817276, 0.47893792390823364, 0.4525235593318939, 0.44709742069244385, 0.4449945390224457]","[841, 881, 297, 514, 146, 859, 802, 228, 764, 139]"
60,152968936,"[0.9506712555885315, 0.7287217974662781, 0.7028824090957642, 0.5077720284461975, 0.501449465751648, 0.4862584173679352, 0.483329713344574, 0.4525986909866333, 0.45250117778778076, 0.45121458172798157]","[841, 881, 297, 802, 228, 146, 514, 426, 859, 764]"
61,145204487,"[0.942551851272583, 0.7160789966583252, 0.6803994178771973, 0.5513600707054138, 0.5481828451156616, 0.4969290494918823, 0.48801517486572266, 0.48154401779174805, 0.47675612568855286, 0.4727112352848053]","[841, 881, 297, 802, 228, 859, 175, 168, 146, 3]"
62,11864128,"[0.9116469621658325, 0.6967226266860962, 0.6838732957839966, 0.48438796401023865, 0.440700888633728, 0.41940635442733765, 0.4119948446750641, 0.4073883891105652, 0.4048827886581421, 0.3883713483810425]","[841, 881, 297, 228, 146, 514, 175, 859, 802, 3]"
63,50840732,"[0.9346417188644409, 0.7075629830360413, 0.6899874210357666, 0.4693537950515747, 0.45422878861427307, 0.4337694048881531, 0.4242026209831238, 0.4043685793876648, 0.3958622217178345, 0.3953748941421509]","[841, 881, 297, 514, 859, 228, 543, 3, 146, 108]"
64,3969642,"[0.9515101909637451, 0.7438250780105591, 0.7154743671417236, 0.5646767616271973, 0.5608858466148376, 0.5480313301086426, 0.5336809158325195, 0.5198971033096313, 0.5146542191505432, 0.5072364211082458]","[841, 881, 297, 514, 228, 802, 175, 426, 146, 168]"
65,2086947669,"[0.9331363439559937, 0.7275369763374329, 0.7047032117843628, 0.4878942370414734, 0.4865797162055969, 0.4843651056289673, 0.478040486574173, 0.4714539051055908, 0.45358920097351074, 0.42874476313591003]","[841, 297, 881, 514, 139, 146, 228, 859, 802, 820]"
66,2113925511,"[0.9399206638336182, 0.7066102027893066, 0.6812395453453064, 0.5274310111999512, 0.5250349044799805, 0.49810993671417236, 0.4880330562591553, 0.47982800006866455, 0.4795297086238861, 0.47417715191841125]","[841, 881, 297, 802, 228, 146, 426, 859, 764, 514]"
67,133847825,"[0.9410343170166016, 0.6969413757324219, 0.6703351140022278, 0.5017596483230591, 0.4876854717731476, 0.48026686906814575, 0.4642374515533447, 0.45173636078834534, 0.4457079768180847, 0.4384734034538269]","[841, 881, 297, 228, 146, 802, 859, 514, 175, 139]"
68,1740594120,"[0.950402021408081, 0.7293744683265686, 0.7266571521759033, 0.5148518681526184, 0.500872790813446, 0.49086129665374756, 0.47799763083457947, 0.475581556558609, 0.44597071409225464, 0.43998390436172485]","[841, 297, 881, 514, 228, 802, 146, 859, 139, 3]"
69,2064515827,"[0.950899600982666, 0.7394644021987915, 0.7290376424789429, 0.4662522077560425, 0.46614035964012146, 0.4593585431575775, 0.4544278085231781, 0.42587441205978394, 0.4129127264022827, 0.41194671392440796]","[841, 881, 297, 514, 859, 146, 228, 802, 139, 820]"
70,37101941,"[0.9445435404777527, 0.7386102676391602, 0.7235590219497681, 0.5148709416389465, 0.4931989312171936, 0.4842052459716797, 0.48291364312171936, 0.47000613808631897, 0.4512959122657776, 0.45091766119003296]","[841, 881, 297, 802, 514, 146, 228, 859, 139, 426]"
71,49049951,"[0.9428706765174866, 0.6875852942466736, 0.6669726371765137, 0.5123228430747986, 0.4257243275642395, 0.42050865292549133, 0.4161760210990906, 0.41279324889183044, 0.3831286132335663, 0.3704509735107422]","[841, 881, 297, 514, 228, 859, 764, 146, 658, 3]"
72,48895643,"[0.945946216583252, 0.7660786509513855, 0.7028118371963501, 0.5450180768966675, 0.5136071443557739, 0.5057680606842041, 0.4783596992492676, 0.47614574432373047, 0.45469993352890015, 0.45425906777381897]","[841, 881, 297, 514, 228, 146, 802, 859, 3, 764]"
73,3682901,"[0.9426864981651306, 0.7339715957641602, 0.658420741558075, 0.4926655888557434, 0.479880690574646, 0.45301738381385803, 0.4368496537208557, 0.42275744676589966, 0.40020740032196045, 0.39589574933052063]","[841, 881, 297, 514, 228, 859, 146, 764, 802, 820]"
74,5470774,"[0.934012770652771, 0.7184416055679321, 0.6941933035850525, 0.5356855392456055, 0.4997708797454834, 0.48035597801208496, 0.4786113500595093, 0.47843921184539795, 0.47211819887161255, 0.4566112756729126]","[841, 881, 297, 802, 228, 168, 514, 146, 426, 22]"
75,2107992288,"[0.9450132250785828, 0.7181635499000549, 0.7033005952835083, 0.4896891415119171, 0.474120169878006, 0.4624602496623993, 0.4552153944969177, 0.43872785568237305, 0.4320414066314697, 0.4167294502258301]","[841, 881, 297, 514, 859, 228, 146, 764, 27, 645]"
76,116321837,"[0.9375486969947815, 0.7312242388725281, 0.7085681557655334, 0.5020112991333008, 0.49550873041152954, 0.4806155860424042, 0.4679139256477356, 0.4537261724472046, 0.4532962739467621, 0.43104541301727295]","[841, 297, 881, 514, 146, 228, 3, 859, 802, 820]"
77,2055382415,"[0.9598716497421265, 0.7473841905593872, 0.7159586548805237, 0.5255963206291199, 0.4888126850128174, 0.4849337935447693, 0.48408132791519165, 0.4692142605781555, 0.4661039710044861, 0.4599027931690216]","[841, 881, 297, 514, 859, 802, 146, 764, 426, 645]"
78,6395339,"[0.9427090883255005, 0.7435594797134399, 0.720066249370575, 0.5277351140975952, 0.497686505317688, 0.47977209091186523, 0.47680628299713135, 0.46847015619277954, 0.45335283875465393, 0.4331185221672058]","[841, 881, 297, 514, 228, 859, 802, 146, 139, 3]"
79,21837178,"[0.9402250051498413, 0.6944482326507568, 0.6716748476028442, 0.5121696591377258, 0.48689091205596924, 0.45774394273757935, 0.45713692903518677, 0.45324230194091797, 0.4403765797615051, 0.43963274359703064]","[841, 881, 297, 802, 146, 514, 859, 228, 426, 3]"
80,51225425,"[0.9440876245498657, 0.7376165390014648, 0.7363057732582092, 0.59228515625, 0.5569337606430054, 0.5532146096229553, 0.5366027355194092, 0.530247688293457, 0.514787495136261, 0.5126878619194031]","[841, 881, 297, 228, 175, 514, 544, 802, 139, 146]"
81,1879596332,"[0.9471891522407532, 0.6989617347717285, 0.6884487271308899, 0.5580637454986572, 0.46381574869155884, 0.46060842275619507, 0.45966625213623047, 0.4536206126213074, 0.4437985122203827, 0.4402410387992859]","[841, 881, 297, 514, 146, 764, 228, 859, 3, 175]"
82,5558390,"[0.9512013792991638, 0.7472001314163208, 0.7218597531318665, 0.48072928190231323, 0.4605117738246918, 0.43867793679237366, 0.4296206533908844, 0.42386099696159363, 0.4164174199104309, 0.40577220916748047]","[841, 881, 297, 514, 859, 146, 228, 820, 27, 139]"
83,4158217,"[0.9443044066429138, 0.7636187076568604, 0.7160542011260986, 0.5739058256149292, 0.5646407604217529, 0.5036053657531738, 0.4967355728149414, 0.49152153730392456, 0.48808032274246216, 0.48760300874710083]","[841, 297, 881, 228, 802, 146, 426, 514, 168, 175]"
84,1391191383,"[0.9492597579956055, 0.719664454460144, 0.7086794376373291, 0.5529657602310181, 0.5445541143417358, 0.524252712726593, 0.5077025890350342, 0.5072307586669922, 0.5040874481201172, 0.5034886598587036]","[841, 881, 297, 228, 802, 514, 168, 146, 3, 175]"
85,51183305,"[0.9430720806121826, 0.7078346014022827, 0.7000647783279419, 0.5105562210083008, 0.5097707509994507, 0.5038043260574341, 0.4772234261035919, 0.4729542136192322, 0.4721059501171112, 0.4625321626663208]","[841, 881, 297, 228, 802, 514, 175, 859, 146, 139]"
86,92229561,"[0.9446542263031006, 0.7437669038772583, 0.6984697580337524, 0.505464494228363, 0.48535290360450745, 0.47607603669166565, 0.4733762741088867, 0.4667705297470093, 0.464785635471344, 0.450289785861969]","[841, 297, 881, 228, 146, 514, 859, 802, 175, 3]"
87,4962678,"[0.9409964084625244, 0.7514938116073608, 0.677618145942688, 0.5484157800674438, 0.4476925730705261, 0.4388768672943115, 0.4164195656776428, 0.4161475598812103, 0.40718555450439453, 0.4054650068283081]","[841, 881, 297, 514, 859, 228, 738, 175, 27, 76]"
88,32313778,"[0.9492291808128357, 0.7043734788894653, 0.6968839764595032, 0.5363978743553162, 0.5336612462997437, 0.5149003267288208, 0.5016815662384033, 0.4691188335418701, 0.45870399475097656, 0.45765143632888794]","[841, 881, 297, 514, 228, 175, 859, 929, 738, 146]"
89,2014055716,"[0.9475588798522949, 0.6941283345222473, 0.6820226907730103, 0.5098676681518555, 0.4835633337497711, 0.47191309928894043, 0.46295541524887085, 0.4494110345840454, 0.4376963973045349, 0.43362051248550415]","[841, 881, 297, 514, 228, 175, 146, 859, 544, 3]"
90,3938417,"[0.9387933015823364, 0.71592777967453, 0.700798749923706, 0.5747576355934143, 0.5652830600738525, 0.5636298656463623, 0.5509474277496338, 0.5493478775024414, 0.5482843518257141, 0.5380529165267944]","[841, 881, 297, 228, 802, 146, 175, 544, 514, 168]"
91,101709915,"[0.9413292407989502, 0.7220772504806519, 0.6715533137321472, 0.4988386631011963, 0.4976044297218323, 0.4762917160987854, 0.4630233943462372, 0.44650885462760925, 0.4453863501548767, 0.4367713928222656]","[841, 881, 297, 146, 228, 802, 859, 139, 514, 697]"
92,3034389,"[0.9466636180877686, 0.7294837236404419, 0.7207594513893127, 0.5603683590888977, 0.5431849956512451, 0.5288072228431702, 0.5021438598632812, 0.4913289248943329, 0.4840095639228821, 0.48293477296829224]","[841, 297, 881, 228, 514, 802, 175, 3, 764, 139]"
93,1430849510,"[0.9598716497421265, 0.7473841905593872, 0.7159586548805237, 0.5255963206291199, 0.4888126850128174, 0.4849337935447693, 0.48408132791519165, 0.4692142605781555, 0.4661039710044861, 0.4599027931690216]","[841, 881, 297, 514, 859, 802, 146, 764, 426, 645]"
94,31593578,"[0.9488829374313354, 0.6985006332397461, 0.6637139320373535, 0.46806684136390686, 0.4631528854370117, 0.42685091495513916, 0.403559148311615, 0.3902733325958252, 0.37635529041290283, 0.36260759830474854]","[841, 881, 297, 514, 859, 228, 146, 27, 764, 128]"
95,14436548,"[0.9468077421188354, 0.7221506237983704, 0.7094235420227051, 0.5454736948013306, 0.5189110040664673, 0.49797284603118896, 0.46687841415405273, 0.46558165550231934, 0.4633429944515228, 0.45367735624313354]","[841, 881, 297, 228, 175, 514, 544, 859, 146, 3]"
96,1650296215,"[0.8909945487976074, 0.620399534702301, 0.6074955463409424, 0.34562164545059204, 0.3222811222076416, 0.29966413974761963, 0.27645623683929443, 0.270210862159729, 0.2545952796936035, 0.24412472546100616]","[841, 881, 297, 859, 514, 228, 146, 697, 139, 820]"
97,1768163854,"[0.9434304237365723, 0.7270774841308594, 0.6857710480690002, 0.5258568525314331, 0.4977864623069763, 0.4926196038722992, 0.48629090189933777, 0.4796532988548279, 0.4773120880126953, 0.4745754301548004]","[841, 881, 297, 514, 802, 228, 859, 146, 764, 645]"
98,3555415,"[0.9452999830245972, 0.7331488132476807, 0.7161991000175476, 0.5589758157730103, 0.556340754032135, 0.5562115907669067, 0.5178848505020142, 0.5157281756401062, 0.5124971866607666, 0.5122595429420471]","[841, 297, 881, 802, 228, 514, 519, 168, 426, 175]"
99,31954052,"[0.9453728199005127, 0.7364794015884399, 0.6897125244140625, 0.47195935249328613, 0.4532809555530548, 0.4309297204017639, 0.41856688261032104, 0.409617155790329, 0.4089629650115967, 0.4051288366317749]","[841, 881, 297, 514, 859, 228, 802, 645, 636, 27]"
